grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Centro de Servicios Resource Center,/grants/grantee/centro-de-servicios-resource-center,2017,"$10,000",Community,,
Child and Family Policy Center,/grants/grantee/child-and-family-policy-center,2017,"$40,000",Education Equity,Early Success and PreK-3rd,"To reduce chronic absenteeism of young children in low-income San Francisco schools. $40,000"
Children Now,/grants/grantee/children-now,2017,"$50,000",Education Equity,PreK-12 Systems Change,"To promote equity, transparency and accountability in school district spending in California. $50,000"
Children's Council of San Francisco,/grants/grantee/children-s-council-of-san-francisco,2017,"$1,000",Education Equity,Early Success and PreK-3rd,
Chinatown Community Development Center,/grants/grantee/chinatown-community-development-center,2017,"$5,000",Community,,
Chinese for Affirmative Action,/grants/grantee/chinese-for-affirmative-action,2017,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To promote Asian American community participation in policymaking, particularly on State budget issues. $50,000"
Chinese Progressive Association,/grants/grantee/chinese-progressive-association,2017,"$5,000",Immigrant Rights,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2017,"$2,500",Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2017,"$700,000",Community,,"For emergency support to families and individuals in the Bay Area. $700,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2017,$250,Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2017,"$10,500",Community,,
"CityTeam Ministries, Oakland",/grants/grantee/cityteam-ministries-oakland,2017,"$15,000",Community,,
"CityTeam Ministries, San Francisco",/grants/grantee/cityteam-ministries-san-francisco,2017,"$15,000",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2017,"$15,000",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2017,"$109,000",Leadership,Investing in Our Grantees,"To develop its leadership bench and launch an online platform for digital engagement and fundraising. $109,000"
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2017,"$15,000",Leadership,Investing in Our Grantees,
COFEM,/grants/grantee/cofem,2017,"$15,000",Leadership,Investing in Our Grantees,
COFEM,/grants/grantee/cofem,2017,"$50,000",Immigrant Rights,California Civic Participation,"To educate Mexicans about their rights and provide legal assistance ($50,000)"
Coleman Advocates for Children and Youth,/grants/grantee/coleman-advocates-for-children-and-youth,2017,"$70,000",Education Equity,College Access and Success,"For the Students Making a Change project to amplify the voices of students in policy development at City College of San Francisco. $70,000"
Columbia University - Law School,/grants/grantee/columbia-university-law-school,2017,"$30,000",Gay and Lesbian Rights,Research & Communications,"For the Public Rights/Private Conscience Project, to help shape public debates around the importance of safeguarding religious liberties and other fundamental rights. $30,000"
Common Counsel Foundation,/grants/grantee/common-counsel-foundation,2017,"$45,000",Leadership,Advancing Knowledge and Learning,"To provide training and coaching to social justice organizations on defending against digital and legal threats. $45,000"
Community Foundation Sonoma County,/grants/grantee/community-foundation-sonoma-county,2017,"$65,000",Community,,"For the Resilience Fund for fire relief. $65,000"
Community Initiatives,/grants/grantee/community-initiatives,2017,"$40,000",Community,,"To support the Butler Koshland Fellowships project in launching new fellows for immigrant and LGBT rights. $40,000"
Community Initiatives,/grants/grantee/community-initiatives,2017,"$120,000",Education Equity,PreK-12 Systems Change,"For the Parent Advisory Council project to elevate parents' voices in shaping San Francisco Unified School District policies. $120,000 over two years (2017-2019)"
Community Initiatives,/grants/grantee/community-initiatives,2017,"$60,000",Community,,"To support the Educators for Fair Consideration project in helping undocumented Bay Area students access higher education. $60,000"
Community Initiatives,/grants/grantee/community-initiatives,2017,"$10,000",Leadership,Advancing Knowledge and Learning,
Community Initiatives,/grants/grantee/community-initiatives,2017,"$150,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $150,000"
Community Wealth Partners,/grants/grantee/community-wealth-partners,2017,"$50,000",Leadership,Fundraising,"To gather grantee input and design training and consulting programs on fundraising. $50,000"
Community Wealth Partners,/grants/grantee/community-wealth-partners,2017,"$100,000",Leadership,Fundraising,"To launch effort to integrate fund development principles into nonprofit consultant practice. $100,000"
Compass Family Services,/grants/grantee/compass-family-services,2017,"$25,000",Community,,
CompassPoint Nonprofit Services,/grants/grantee/compasspoint-nonprofit-services,2017,"$50,000",Leadership,Advancing Knowledge and Learning,"To support its leadership transition and to develop training and consulting in equitable management practices. $50,000"
Council on Foundations,/grants/grantee/council-on-foundations,2017,"$25,000",Community,,
"Demos: A Network for Ideas & Action, Ltd.",/grants/grantee/demos-a-network-for-ideas-action-ltd,2017,"$45,000",Leadership,Advancing Knowledge and Learning,"To share story and lessons about how integrating racial equity has boosted its progress. $45,000"
East Oakland Community Project,/grants/grantee/east-oakland-community-project,2017,"$25,000",Community,,
EdSource,/grants/grantee/edsource,2017,"$40,000",Education Equity,PreK-12 Systems Change,"To provide news analyses of key education policy issues in California. $40,000"
EdSource,/grants/grantee/edsource,2017,"$40,000",Education Equity,PreK-12 Systems Change,"To provide news analyses of key education policy issues in California. $40,000"
Education Trust,/grants/grantee/education-trust,2017,"$190,000",Education Equity,PreK-12 Systems Change,"For the Education Trust-West to promote the use of budget transparency and accountability tools to advance education equity. $190,000 over 18 months (2017-2019)"
Educational Results Partnership,/grants/grantee/educational-results-partnership,2017,"$185,000",Education Equity,College Pipeline,"To provide research data analysis to improve college and career readiness among San Francisco students. $185,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2017,"$40,000",Leadership,Fundraising,"To increase the fundraising capacity of state-based organizations advancing equality of gay and lesbian people. $40,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2017,"$15,000",Leadership,Investing in Our Grantees,
Equality Federation Institute,/grants/grantee/equality-federation-institute,2017,"$170,000",Gay and Lesbian Rights,Research & Communications,"To support state-based campaigns to educate the public about the need to protect LGBT people from discrimination. $170,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2017,"$100,000",Gay and Lesbian Rights,Public Education,"To educate the LGBT community about the importance of the Masterpiece Supreme Court case. $100,000"
Equality Florida Institute,/grants/grantee/equality-florida-institute,2017,$500,Community,,
Equality Florida Institute,/grants/grantee/equality-florida-institute,2017,"$50,000",Gay and Lesbian Rights,Public Education,"To educate Floridians about the need to protect LGBT people from discrimination. $50,000"
Equality Foundation of Georgia,/grants/grantee/equality-foundation-of-georgia,2017,"$25,000",Gay and Lesbian Rights,Public Education,
Equality Foundation of Georgia,/grants/grantee/equality-foundation-of-georgia,2017,"$48,000",Leadership,Investing in Our Grantees,"To strengthen board and staff leadership for raising resources and working in diverse coalitions. $48,000"
Equality Foundation of Georgia,/grants/grantee/equality-foundation-of-georgia,2017,"$15,000",Leadership,Investing in Our Grantees,
Equality Ohio Education Fund,/grants/grantee/equality-ohio-education-fund,2017,"$15,000",Leadership,Investing in Our Grantees,
Equality Pennsylvania Education Fund,/grants/grantee/equality-pennsylvania-education-fund,2017,"$50,000",Gay and Lesbian Rights,Public Education,"To educate Pennsylvanians about the need to protect LGBT people from discrimination. $50,000"
Equality Texas Foundation,/grants/grantee/equality-texas-foundation,2017,"$15,000",Leadership,Investing in Our Grantees,
Equality Texas Foundation,/grants/grantee/equality-texas-foundation,2017,"$125,000",Gay and Lesbian Rights,Public Education,"To educate Texans about the importance of protecting LGBT people from discrimination. $125,000"
Exploratorium,/grants/grantee/exploratorium,2017,"$2,000",Community,,
Faith in Public Life,/grants/grantee/faith-in-public-life,2017,"$180,000",Gay and Lesbian Rights,Public Education,"To build state-based networks of mainstream faith leaders to inform public debates around nondiscrimination protections for LGBT people. $180,000"
Family Connections,/grants/grantee/family-connections,2017,"$15,000",Community,,
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2017,"$30,000",Education Equity,College Access and Success,"For the Bridge to Success initiative to increase college readiness and completion rates of African American and Latino students in San Francisco. $30,000"
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2017,"$50,000",Education Equity,College Access and Success,"For the Bridge to Success project, to increase college readiness and completion. $50,000"
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2017,"$100,000",Education Equity,College Pipeline,"For City College to develop career and academic pathways to increase student success. $100,000"
